GymnastID,Name,Team
33319,Anna Bacott,Air Force
33320,Alyssa Bigler,Air Force
32650,Chelsea Boyer,Air Force
32180,Kylee Greene,Air Force
32181,Gabriella Hartley,Air Force
33324,Anna Kristianson,Air Force
33325,Elizabeth Lassila,Air Force
33741,Erin McDermott,Air Force
33328,Nhi Nguyen,Air Force
32646,Olivia Raife,Air Force
33329,Hailey Santana,Air Force
32645,Maggie Slife,Air Force
32644,Clara Wallace,Air Force
32185,Sarah Willis,Air Force
33412,Jasmine Cawley,Alabama
32923,Ryan Fuller,Alabama
31795,Gabby Gladieux,Alabama
32924,Kylee Kvamme,Alabama
32306,Chloe LaCoursiere,Alabama
32307,Gabby Ladanyi,Alabama
33413,Noella Marshall,Alabama
33414,McKenzie Matters,Alabama
31248,Jordyn Paradise,Alabama
32004,Natalia Pawlak,Alabama
33415,Azaraya Ra-Akbar,Alabama
31799,Rachel Rybicki,Alabama
32308,Jamison Sears,Alabama
32926,Paityn Walker,Alabama
32927,Maribelle Albert,Alaska
31801,Ariana DeSouza,Alaska
32376,Jamilia Duffus,Alaska
31802,Madelyn Gomez,Alaska
32929,Jordan Grindol,Alaska
32310,Maria Jose Prieto,Alaska
33418,Alexandra Karkowski,Alaska
32311,Claudia Lessig,Alaska
32313,Jada Niles,Alaska
33420,Tessa Richardson,Alaska
33421,Hannah Rojo,Alaska
31806,Breeann Spain,Alaska
32314,Avery Tillmanns,Alaska
32933,Verena Wong,Alaska
33424,Riley Carman,Arizona
32315,Sophie Derr,Arizona
32316,Ainsley Greever,Arizona
32935,Jessa Janicke,Arizona
32936,Aubrey Krohnfeldt,Arizona
31254,Elizabeth LaRusso,Arizona
31807,Gianna Lenczner,Arizona
32318,Sophia Maisel,Arizona
32319,Abigayle Martin,Arizona
33425,Delaney Mead,Arizona
33426,Hillary Puleo,Arizona
32946,Sadie Smith,Arizona
31810,Emma Strom,Arizona
32939,Teagan White,Arizona
32320,Tirzah Wise,Arizona
32940,Halle Braaflat,Arizona State
33858,Kylee Bromley,Arizona State
33429,Safia El Mammann,Arizona State
32321,Halle Gregoire,Arizona State
32683,Reese Grolla,Arizona State
33430,Delanie Kelly,Arizona State
31812,Isabella Kowan,Arizona State
32941,Nina Laurito,Arizona State
31813,Kayla Lee,Arizona State
33432,Adele Ossi,Arizona State
32942,Tiara Platkin,Arizona State
32322,Lilia Purler,Arizona State
33433,Jessica Rosenberg,Arizona State
31815,Kimberly Smith,Arizona State
33434,Robyn Wilson,Arizona State
33437,Avalon Campbell,Arkansas
33438,Allison Cucci,Arkansas
33156,Madison Gustitus,Arkansas
32327,Hailey Klein,Arkansas
32944,Ja'Leigh Lang,Arkansas
32328,Priscilla Park,Arkansas
31886,Morgan Price,Arkansas
31259,Frankie Price,Arkansas
32945,Joscelyn Roberson,Arkansas
31261,Leah Smith,Arkansas
31822,Cally Swaney,Arkansas
31258,Cami Weaver,Arkansas
31823,Lauren Williams,Arkansas
32949,Olivia Ahern,Auburn
32329,Bryn Bartman,Auburn
32950,Sophia Bell,Auburn
33441,Charlotte Booth,Auburn
32330,Emma Grace Boyd,Auburn
31816,Olivia Greaves,Auburn
31817,Hannah Hagle,Auburn
32333,Julianne Huff,Auburn
32576,Alex Irvine,Auburn
32951,Katelyn Jong,Auburn
33443,Mia Leverton,Auburn
32952,Marissa Neal,Auburn
33445,Brynn Torry,Auburn
32096,Emma Wehry,Auburn
32334,Jersie Woolsey,Auburn
32335,Paige Zancan,Auburn
33446,Kinlee Bare,Ball State
32243,Mary Rose Bellan,Ball State
32953,Viviana Campuzano,Ball State
32662,Lindsay Fuller,Ball State
32663,Lindsay Girard,Ball State
32954,Avery Kantor,Ball State
32664,Delaney McMahon,Ball State
32956,Karli Mercer,Ball State
31827,Zoe Middleton,Ball State
32665,Ava Molina,Ball State
32957,Jordanna Phillis,Ball State
31828,Alauna Simms,Ball State
33448,Carley Stalder,Ball State
32959,Grace Suchecki,Ball State
32666,Ashley Szymanski,Ball State
33449,Ava Thurston,Ball State
32960,Noelle Ball,Boise State
32336,Carly Buell,Boise State
33451,Lexi Caffall,Boise State
33452,Isabella Delarosa,Boise State
31833,Anna Ferguson,Boise State
31834,Kylee Hamby,Boise State
32961,Bridget Kemp,Boise State
31835,Sydney Kho,Boise State
32337,Julia Krzywanski,Boise State
31836,Sydney Leitch,Boise State
31837,Brantley Lucas,Boise State
33454,Miraya Nero,Boise State
31275,Blake Pascal,Boise State
32962,Delaney Reeves,Boise State
32963,Kristina Shchennikova,Boise State
32340,Mahleea Werline,Boise State
33455,Sydnie Whipple,Boise State
31320,Cassie Bergin,Bowling Green
31840,Charniya Brown,Bowling Green
31842,Madison Coburn,Bowling Green
32342,Faye Dubin,Bowling Green
32343,Megan Dzialo,Bowling Green
32964,Emily Gianfrancesco,Bowling Green
33456,Natasha Lopez,Bowling Green
32344,Teegan Milligan,Bowling Green
32345,Nadia Parente,Bowling Green
32965,Kayla Shaw,Bowling Green
33458,Addie Tandeski,Bowling Green
32346,Keira Thornton,Bowling Green
33406,Landyn Williams,Bowling Green
33087,Taylor Wurtz,Bowling Green
31846,Sophia Dewar,Brown
31847,Umi El Mammann,Brown
32971,Daisy Fallon,Brown
32348,Emily Ford,Brown
31848,Jessica Lin,Brown
31849,Liza Marcus,Brown
32972,Gianna Martoccia,Brown
32973,Gabby Mautner,Brown
32974,Maeve McIlroy,Brown
33466,Rehna Saalinger,Brown
33467,Lulu Ton-That,Brown
33468,Sophie Tressler,Brown
32350,Lindsay Van Eyk,Brown
32976,Addison Whiteside,Brown
32351,Lindsey Yang,Brown
32397,Alilah Alvarado,BYU
32399,Brynlee Andersen-Broekman,BYU
31855,Kylie Eaquinto,BYU
32978,Addilyn Glazier,BYU
32400,Chloee Hoke,BYU
32398,Ava Jorgensen,BYU
32404,Mya Kirkham,BYU
32981,Deb Silva,BYU
33476,Hazel Smith,BYU
33474,Scarlett Sonnenberg,BYU
32982,Daisy Stephenson,BYU
31860,Miki Aderinto,California
31861,Casey Brown,California
33244,CJ Keuneke,California
33859,Sarah Lee,California
32651,Kyen Mayhew,California
33245,Sage Melkonian,California
32652,Annalise Newman-Achee,California
33913,Tonya Paulsson,California
31295,Abbey Scanlon,California
32298,Jayden Silvers,California
33247,Mya Wiley,California
31863,Luciana Alvarado-Reid,Central Michigan
31301,Avah Bootz,Central Michigan
32694,Jenna Germond,Central Michigan
33486,Paige Hasling,Central Michigan
32695,Gabrielle Johnson,Central Michigan
31304,Lia Kmieciak,Central Michigan
33332,Heather Parker,Central Michigan
32697,Zoie Pelfrey,Central Michigan
33488,Alexandra Reddick,Central Michigan
33489,Ashlyn Richards,Central Michigan
33333,Kaitlyn Schwab,Central Michigan
32699,Samantha Shannon,Central Michigan
33334,Ava Wellmeier,Central Michigan
33335,Maylee Wendle,Central Michigan
33336,ZoÃ« Zimmerman,Central Michigan
32575,Paige Anastasi,Clemson
32738,Molly Arnold,Clemson
32742,Takoda Berry,Clemson
31292,Ella Cesario,Clemson
32727,Brie Clark,Clemson
32984,Hannah Clark,Clemson
32737,Maggie Holman,Clemson
32728,Eve Jackson,Clemson
32739,Quinn Kuhl,Clemson
32734,Lilly Lippeatt,Clemson
33491,Emma Malewski,Clemson
32736,Madison Minner,Clemson
32986,Tara Walsh,Clemson
31865,Mikayla Burton,Cornell
31867,Michaela DeFrancisco,Cornell
33498,Ella Fox,Cornell
32987,Sarah Goetter,Cornell
33493,Lauren Golioto,Cornell
32989,Dahlia Jhaveri,Cornell
32990,Anne MacKenzie,Cornell
33495,Grace McLean,Cornell
